* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 13/11/2024 2:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 23-EP Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 23-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 22.338867 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
22.338867 0.008 63.8982
22.500744 0.008 63.6852
22.663793 0.009 63.3649
22.828025 0.009 62.9100
22.993446 0.009 62.3052
23.160066 0.009 61.5559
23.327893 0.010 60.6930
23.496937 0.010 59.7701
23.667205 0.010 58.8555
23.838708 0.010 58.0201
24.011453 0.010 57.3224
24.185450 0.010 56.7969
24.360707 0.010 56.4469
24.537235 0.010 56.2446
24.715042 0.010 56.1385
24.894137 0.010 56.0676
25.074531 0.010 55.9781
25.256231 0.010 55.8411
25.439248 0.010 55.6647
25.623591 0.010 55.5008
25.809270 0.010 55.4415
25.996295 0.010 55.6067
26.184675 0.010 56.1234
26.374420 0.010 57.0998
26.565540 0.010 58.5990
26.758045 0.010 60.6156
26.951944 0.010 63.0639
27.147249 0.010 65.7794
27.343970 0.010 68.5408
27.542115 0.010 71.1061
27.741697 0.010 73.2525
27.942724 0.010 74.8099
28.145209 0.010 75.6781
28.349161 0.010 75.8300
28.554590 0.010 75.3045
28.761509 0.010 74.1937
28.969927 0.010 72.6267
29.179855 0.010 70.7503
29.391304 0.010 68.7098
29.604285 0.010 66.6319
29.818810 0.010 64.6138
30.034890 0.010 62.7188
30.252535 0.010 60.9801
30.471757 0.010 59.4070
30.692568 0.010 57.9946
30.914979 0.010 56.7307
31.139002 0.010 55.6018
31.364648 0.010 54.5958
31.591929 0.010 53.7020
31.820857 0.010 52.9110
32.051444 0.010 52.2130
32.283702 0.010 51.5974
32.517643 0.010 51.0532
32.753279 0.010 50.5700
32.990623 0.010 50.1384
33.229687 0.010 49.7510
33.470483 0.010 49.4020
33.713024 0.010 49.0865
33.957322 0.010 48.7990
34.203391 0.010 48.5329
34.451243 0.010 48.2796
34.700891 0.010 48.0295
34.952348 0.010 47.7730
35.205627 0.010 47.5021
35.460741 0.010 47.2118
35.717704 0.010 46.9005
35.976530 0.010 46.5690
36.237230 0.010 46.2198
36.499820 0.010 45.8552
36.764313 0.010 45.4766
37.030722 0.010 45.0840
37.299062 0.010 44.6768
37.569347 0.010 44.2553
37.841590 0.010 43.8213
38.115805 0.010 43.3786
38.392008 0.010 42.9325
38.670213 0.010 42.4884
38.950433 0.010 42.0501
39.232684 0.010 41.6194
39.516980 0.010 41.1962
39.803336 0.010 40.7792
40.091768 0.010 40.3673
40.382289 0.010 39.9614
40.674916 0.010 39.5643
40.969663 0.010 39.1813
41.266546 0.010 38.8195
41.565581 0.010 38.4872
41.866782 0.010 38.1932
42.170166 0.010 37.9466
42.475748 0.010 37.7565
42.783545 0.010 37.6317
43.093572 0.010 37.5795
43.405846 0.010 37.6045
43.720383 0.010 37.7061
44.037199 0.010 37.8766
44.356310 0.010 38.1002
44.677734 0.010 38.3527
45.001488 0.010 38.6031
45.327587 0.010 38.8164
45.656049 0.010 38.9586
45.986892 0.010 39.0012
46.320132 0.010 38.9270
46.655787 0.010 38.7333
46.993874 0.010 38.4332
47.334411 0.010 38.0532
47.677415 0.010 37.6273
48.022906 0.010 37.1895
48.370899 0.010 36.7664
48.721415 0.010 36.3733
49.074470 0.010 36.0138
49.430084 0.010 35.6837
49.788275 0.010 35.3762
50.149061 0.010 35.0864
50.512462 0.010 34.8127
50.878496 0.010 34.5556
51.247183 0.010 34.3152
51.618541 0.010 34.0892
51.992590 0.010 33.8723
52.369350 0.010 33.6578
52.748840 0.010 33.4398
53.131080 0.010 33.2146
53.516089 0.010 32.9811
53.903889 0.010 32.7407
54.294499 0.010 32.4957
54.687939 0.010 32.2486
55.084230 0.010 32.0013
55.483393 0.010 31.7542
55.885449 0.010 31.5065
56.290418 0.010 31.2565
56.698322 0.010 31.0030
57.109181 0.010 30.7460
57.523018 0.010 30.4872
57.939853 0.010 30.2301
58.359709 0.010 29.9783
58.782608 0.010 29.7351
59.208571 0.010 29.5023
59.637620 0.010 29.2802
60.069779 0.010 29.0676
60.505070 0.010 28.8624
60.943514 0.010 28.6624
61.385136 0.010 28.4656
61.829958 0.010 28.2713
62.278003 0.010 28.0805
62.729296 0.010 27.8955
63.183858 0.010 27.7193
63.641714 0.010 27.5555
64.102888 0.010 27.4069
64.567404 0.010 27.2753
65.035286 0.010 27.1613
65.506559 0.010 27.0639
65.981246 0.010 26.9806
66.459374 0.010 26.9072
66.940966 0.010 26.8380
67.426047 0.010 26.7652
67.914644 0.010 26.6801
68.406782 0.010 26.5735
68.902486 0.010 26.4374
69.401781 0.010 26.2673
69.904695 0.010 26.0634
70.411254 0.010 25.8315
70.921483 0.010 25.5824
71.435409 0.010 25.3290
71.953059 0.010 25.0833
72.474461 0.010 24.8534
72.999641 0.010 24.6419
73.528626 0.010 24.4467
74.061445 0.010 24.2637
74.598125 0.010 24.0888
75.138693 0.010 23.9193
75.683179 0.010 23.7531
76.231611 0.010 23.5885
76.784016 0.010 23.4246
77.340425 0.010 23.2614
77.900866 0.010 23.0999
78.465368 0.010 22.9423
79.033960 0.010 22.7903
79.606673 0.010 22.6451
80.183535 0.010 22.5071
80.764578 0.010 22.3763
81.349832 0.010 22.2516
81.939326 0.010 22.1317
82.533092 0.010 22.0150
83.131161 0.010 21.9000
83.733564 0.010 21.7860
84.340332 0.010 21.6723
84.951496 0.010 21.5590
85.567090 0.010 21.4461
86.187144 0.010 21.3335
86.811692 0.010 21.2211
87.440765 0.010 21.1085
88.074397 0.010 20.9953
88.712621 0.010 20.8814
89.355469 0.010 20.7665
90.002975 0.010 20.6509
90.655174 0.010 20.5346
91.312099 0.010 20.4179
91.973784 0.010 20.3011
92.640264 0.010 20.1844
93.311573 0.010 20.0680
93.987747 0.010 19.9524
94.668821 0.010 19.8382
95.354831 0.010 19.7264
96.045811 0.010 19.6182
96.741799 0.010 19.5149
97.442830 0.010 19.4171
98.148941 0.010 19.3250
98.860168 0.010 19.2382
99.576550 0.010 19.1555
100.298122 0.010 19.0754
101.024924 0.010 18.9958
101.756992 0.010 18.9151
102.494365 0.010 18.8320
103.237082 0.010 18.7459
103.985180 0.010 18.6570
104.738700 0.010 18.5659
105.497680 0.010 18.4735
106.262159 0.010 18.3805
107.032179 0.010 18.2876
107.807778 0.010 18.1950
108.588997 0.010 18.1027
109.375878 0.010 18.0102
110.168461 0.010 17.9174
110.966787 0.010 17.8240
111.770898 0.010 17.7305
112.580836 0.010 17.6379
113.396643 0.010 17.5476
114.218362 0.010 17.4608
115.046035 0.010 17.3782
115.879706 0.010 17.3005
116.719418 0.010 17.2286
117.565215 0.010 17.1634
118.417141 0.010 17.1057
119.275241 0.010 17.0565
120.139558 0.010 17.0165
121.010139 0.010 16.9861
121.887029 0.010 16.9649
122.770272 0.010 16.9516
123.659916 0.010 16.9446
124.556007 0.010 16.9412
125.458591 0.010 16.9386
126.367716 0.010 16.9328
127.283428 0.010 16.9193
128.205777 0.010 16.8920
129.134808 0.010 16.8440
130.070572 0.010 16.7668
131.013117 0.010 16.6517
131.962493 0.010 16.4902
132.918747 0.010 16.2761
133.881931 0.010 16.0068
134.852095 0.010 15.6853
135.829289 0.010 15.3214
136.813564 0.010 14.9315
137.804971 0.010 14.5367
138.803563 0.010 14.1593
139.809391 0.010 13.8185
140.822507 0.010 13.5264
141.842965 0.010 13.2865
142.870818 0.010 13.0951
143.906119 0.010 12.9441
144.948922 0.010 12.8253
145.999281 0.010 12.7313
147.057252 0.010 12.6566
148.122890 0.010 12.5964
149.196249 0.010 12.5462
150.277387 0.010 12.5018
151.366359 0.010 12.4589
152.463222 0.010 12.4142
153.568033 0.010 12.3649
154.680850 0.010 12.3094
155.801731 0.010 12.2465
156.930735 0.010 12.1758
158.067920 0.010 12.0972
159.213345 0.010 12.0105
160.367071 0.010 11.9164
161.529157 0.010 11.8155
162.699663 0.010 11.7087
163.878652 0.010 11.5971
165.066185 0.010 11.4812
166.262322 0.010 11.3616
167.467127 0.010 11.2387
168.680663 0.010 11.1127
169.902993 0.010 10.9838
171.134180 0.010 10.8522
172.374289 0.010 10.7180
173.623384 0.010 10.5809
174.881531 0.010 10.4410
176.148794 0.010 10.2983
177.425241 0.010 10.1532
178.710938 0.010 10.0062
180.005951 0.010 9.8582
181.310348 0.010 9.7095
182.624197 0.010 9.5606
183.947568 0.010 9.4119
185.280528 0.010 9.2635
186.623147 0.010 9.1158
187.975495 0.010 8.9693
189.337643 0.010 8.8240
190.709661 0.010 8.6801
192.091622 0.010 8.5373
193.483597 0.010 8.3955
194.885659 0.010 8.2543
196.297881 0.010 8.1138
197.720336 0.010 7.9738
199.153100 0.010 7.8344
200.596245 0.010 7.6953
202.049848 0.010 7.5561
203.513985 0.010 7.4166
204.988731 0.010 7.2768
206.474164 0.010 7.1370
207.970361 0.010 6.9980
209.477399 0.010 6.8608
210.995359 0.010 6.7265
212.524318 0.010 6.5956
214.064357 0.010 6.4685
215.615556 0.010 6.3450
217.177995 0.010 6.2242
218.751756 0.010 6.1047
220.336922 0.010 5.9852
221.933574 0.010 5.8641
223.541796 0.010 5.7406
225.161672 0.010 5.6142
226.793286 0.010 5.4855
228.436724 0.010 5.3557
230.092071 0.010 5.2260
231.759413 0.010 5.0980
233.438837 0.010 4.9728
235.130431 0.010 4.8513
236.834283 0.010 4.7341
238.550482 0.010 4.6214
240.279117 0.010 4.5127
242.020278 0.010 4.4071
243.774057 0.010 4.3035
245.540544 0.010 4.2006
247.319832 0.010 4.0973
249.112014 0.010 3.9931
250.917182 0.010 3.8877
252.735432 0.010 3.7819
254.566857 0.010 3.6769
256.411553 0.010 3.5745
258.269617 0.010 3.4765
260.141145 0.010 3.3849
262.026235 0.010 3.3014
263.924985 0.010 3.2273
265.837494 0.010 3.1638
267.763862 0.010 3.1117
269.704190 0.010 3.0715
271.658577 0.010 3.0434
273.627127 0.010 3.0270
275.609942 0.010 3.0219
277.607126 0.010 3.0270
279.618781 0.010 3.0415
281.645014 0.010 3.0644
283.685930 0.010 3.0944
285.741635 0.010 3.1303
287.812237 0.010 3.1709
289.897843 0.010 3.2149
291.998562 0.010 3.2610
294.114504 0.010 3.3075
296.245779 0.010 3.3527
298.392498 0.010 3.3946
300.554773 0.010 3.4309
302.732717 0.010 3.4590
304.926443 0.010 3.4761
307.136066 0.010 3.4792
309.361701 0.010 3.4654
311.603463 0.010 3.4315
313.861470 0.010 3.3744
316.135840 0.010 3.2911
318.426690 0.010 3.1786
320.734141 0.010 3.0348
323.058313 0.010 2.8579
325.399327 0.010 2.6472
327.757305 0.010 2.4026
330.132369 0.010 2.1249
332.524644 0.010 1.8160
334.934255 0.010 1.4784
337.361327 0.010 1.1153
339.805986 0.010 0.7303
342.268360 0.010 0.3276
344.748578 0.010 -0.0884
347.246768 0.010 -0.5128
349.763061 0.010 -0.9405
352.297589 0.010 -1.3660
354.850482 0.010 -1.7842
357.421875 0.010 -2.1897
360.011901 0.010 -2.5777
362.620696 0.010 -2.9437
365.248395 0.010 -3.2839
367.895135 0.010 -3.5947
370.561055 0.010 -3.8733
373.246293 0.010 -4.1170
375.950990 0.010 -4.3242
378.675286 0.010 -4.4938
381.419323 0.010 -4.6254
384.183245 0.010 -4.7190
386.967195 0.010 -4.7753
389.771319 0.010 -4.7954
392.595762 0.010 -4.7806
395.440673 0.010 -4.7327
398.306199 0.010 -4.6536
401.192490 0.010 -4.5456
404.099696 0.010 -4.4109
407.027969 0.010 -4.2520
409.977462 0.010 -4.0712
412.948327 0.010 -3.8710
415.940721 0.010 -3.6535
418.954799 0.010 -3.4212
421.990718 0.010 -3.1759
425.048637 0.010 -2.9200
428.128714 0.010 -2.6556
431.231112 0.010 -2.3848
434.355990 0.010 -2.1098
437.503513 0.010 -1.8326
440.673843 0.010 -1.5553
443.867148 0.010 -1.2794
447.083592 0.010 -1.0065
